P001,19.99,15-03-2022,Baseball Cap,Accessories
P002,49.99,30-07-2021,Belt,Accessories
P003,89.99,22-02-2020,Blazer,Apparel
P004,69.99,10-01-2022,Bomber Jacket,Outerwear
P005,39.99,18-11-2019,Boots,Shoes
P006,15.99,05-06-2021,Breezy Pants,Apparel
P007,99.99,01-10-2020,Canvas Shoes,Shoes
P008,25.99,25-09-2018,Cardigan,Apparel
P009,12.99,17-02-2022,Cargo Pants,Apparel
P010,24.99,10-12-2019,Cargo Shorts,Apparel
P011,39.99,23-08-2021,Cashmere Sweater,Apparel
P012,5.99,19-12-2020,Chinos,Apparel
P013,129.99,07-05-2019,Chukka Boots,Shoes
P014,49.99,12-11-2021,Double-Breasted Coat,Outerwear
P015,79.99,04-03-2022,Fedora,Accessories
P016,199.99,30-12-2018,Fleece Jacket,Outerwear
P017,18.99,15-09-2021,Flip Flops,Shoes
P018,14.99,02-06-2022,Gloves,Accessories
P019,59.99,28-02-2021,Hat,Accessories
P020,19.99,18-08-2020,Hoodie,Apparel
P021,29.99,14-10-2019,Jacket,Outerwear
P022,34.99,21-07-2021,Jeans,Apparel
P023,12.99,05-01-2022,Knitted Gloves,Accessories
P024,89.99,20-11-2021,Laptop Sleeve,Accessories
P025,29.99,11-10-2020,Leather Jacket,Outerwear
P026,59.99,29-06-2021,Linen Shirt,Apparel
P027,89.99,16-03-2019,Luxury Scarf,Accessories
P028,49.99,07-09-2021,Messenger Bag,Accessories
P029,69.99,25-11-2018,Peacoat,Outerwear
P030,24.99,10-04-2022,Printed T-Shirt,Apparel
P031,179.99,14-02-2019,Product_Name,Category
P032,24.99,12-04-2021,Puffer Jacket,Outerwear
P033,39.99,05-12-2020,Running Shoes,Shoes
P034,29.99,21-07-2019,Running Shorts,Apparel
P035,109.99,18-01-2021,Sandals,Shoes
P036,129.99,08-12-2018,Scarf,Accessories
P037,69.99,19-09-2020,Shorts,Apparel
P038,9.99,13-02-2022,Sneakers,Shoes
P039,59.99,03-11-2021,Socks,Apparel
P040,34.99,14-05-2021,Sweater,Apparel
P041,29.99,10-09-2019,Sweatpants,Apparel
P042,49.99,11-06-2020,T-Shirt,Apparel
P043,109.99,22-03-2021,Tennis Shoes,Shoes
P044,69.99,25-02-2022,Tote Bag,Accessories
P045,24.99,06-08-2021,Track Jacket,Outerwear
P046,19.99,17-02-2022,Turtle Neck,Apparel
P047,189.99,30-11-2019,Watch,Accessories
P048,14.99,07-01-2020,Windbreaker Jacket,Outerwear
P049,89.99,15-12-2021,Windbreaker,Outerwear
P050,149.99,05-10-2021,
Sale_ID,Price,Date_Returned,
